,year,cons_damages,no_cons_damages,fair_temperatures_anomaly_rcp,diff,level_cons,level_no_cons,slope_cons,slope_no_cons
0,2015,0.0,0.0,0.18491824,0.0,0.0064874711869144066,0.00645669986243134,-0.023300931818143987,0.017074823096384
1,2016,0.0,0.0,0.19858900000000002,0.0,0.00885145786584534,0.008656133850590785,-0.017701355018200002,0.011675467780599996
2,2017,0.0,0.0,0.21393204,0.0,0.007933507348521824,0.007607175464693551,-0.028513103854047997,0.0025330826499999903
3,2018,0.0,0.0,0.23145127,0.0,0.008811758035181761,0.008242665177999566,-0.04981412753725,-0.002879976910448001
4,2019,0.0,0.0,0.25120172,0.0,0.008946138795091282,0.0087487660997705,-0.021751352209695998,-0.006221195890056
5,2020,-2.2930390772673767e-05,-6.622285986263715e-07,0.27355906,-2.2268162174047396e-05,0.012222368363611935,0.011818739883582131,-0.038734674912884,-0.0010234731029480082
6,2021,-5.6080838219608325e-05,2.0770269340067427e-05,0.30228451,-7.685110755967575e-05,0.014949085833598,0.014727463824045625,-0.05782112359596596,0.021434675125190004
7,2022,-7.762064758325138e-05,2.354661158571192e-05,0.33639038,-0.0001011672591689633,0.021383935724249514,0.02231972543740611,-0.063835756105448,0.01947443014746801
8,2023,-7.319691361497987e-05,4.399726743780155e-05,0.37241864,-0.00011719418105278143,0.026198444206704263,0.028587789720004475,-0.05339778081419197,0.03209432076697599
9,2024,-4.7703233652586496e-05,6.673668609089023e-05,0.40818807,-0.00011443991974347673,0.0332667588113191,0.03682069626106049,-0.03256945759474003,0.045328047865663995
10,2025,-2.126542429104622e-05,9.941007331813745e-05,0.43964854,-0.00012067549760918367,0.03604766904546909,0.04057309147475954,-0.01419584249422004,0.064721873007064
11,2026,-2.587018157866605e-05,8.208319014152421e-05,0.46747062,-0.00010795337172019026,0.038637896514395205,0.043066298627549335,-0.016715287087623987,0.05231982907265201
12,2027,7.799693471713387e-07,7.926997285773868e-05,0.49258384,-7.849000351056734e-05,0.044311815652726703,0.04761520216349497,0.0003663901968959937,0.050000016103488004
13,2028,3.121817529496557e-05,0.00011114403220718189,0.51769423,-7.992585691221632e-05,0.047057390107847694,0.05046907496845694,0.019383771067765995,0.06972818584249599
14,2029,1.6452533856049778e-05,0.00013280599942047666,0.54197508,-0.00011635346556442688,0.04564064630947752,0.05049344639752836,0.009994165608904065,0.083344547545656
15,2030,3.321436438788461e-06,0.00014976962462341648,0.56671721,-0.00014644818818462801,0.04815658474861077,0.054188797690030606,0.0016768030286279378,0.094363822820352
16,2031,8.597812505366231e-05,0.00018780108028164377,0.59224176,-0.00010182295522798146,0.060577874080210314,0.06471678404053699,0.05421384620576,0.11904643342505601
17,2032,0.00012527427062672403,0.00019319605730318268,0.61996651,-6.792178667645865e-05,0.07457373566266591,0.07746806026501334,0.07986907649433,0.123439167792892
18,2033,0.00012481517374486606,0.00020255272090223542,0.65214825,-7.773754715736936e-05,0.0757843441237244,0.07946171449950015,0.08020998395380004,0.13049188041909998
19,2034,0.0001461966016324534,0.00019093295264055454,0.69004375,-4.473635100810114e-05,0.08777730986090876,0.09034304690263749,0.09494444211499999,0.12413700142874998
20,2035,0.000204334437632403,0.00022047003903512274,0.72790456,-1.6135601402719746e-05,0.09958843778527879,0.10067492974310414,0.13399610768984,0.14462084133593597
21,2036,0.00020035166371520918,0.00023304867584418576,0.76758552,-3.269701212897658e-05,0.1030962750269285,0.10569857260159378,0.132532550390832,0.154259332298592
22,2037,0.0002046971085970517,0.000238484721343038,0.80400944,-3.3787612745986295e-05,0.11009703518943037,0.11311518028311567,0.136642318003904,0.159296141741728
23,2038,0.00022404949174301136,0.00024374923956052563,0.84043378,-1.9699747817514268e-05,0.13089267810540456,0.13284023789704716,0.150983126540084,0.164309133267528
24,2039,0.0002256047433164543,0.0002533196440840102,0.87366557,-2.7714900767555894e-05,0.14756862595715645,0.1504558989504327,0.1533703281432,0.17228046656203402
25,2040,0.0001966754895114109,0.00025793153964856486,0.90470022,-6.125605013715396e-05,0.15215394501718027,0.1586175265839251,0.13478659818802802,0.17693552338276003
26,2041,0.00019310755746759778,0.00026661035867356353,0.93437839,-7.350280120596575e-05,0.1643071835822431,0.17198430778803858,0.133445505146976,0.184437210841746
27,2042,0.00021330609352240848,0.0002982726198237362,0.96507698,-8.496652630132773e-05,0.1839926842705201,0.19277499886879937,0.14861009983992798,0.208027307345564
28,2043,0.0002221288213813677,0.0003277556021564765,0.99776345,-0.00010562678077510879,0.19484132816863495,0.2057369603642004,0.15596256511146997,0.23040766559622
29,2044,0.00025397995180748145,0.0003502971616301809,1.0333689,-9.631720982269942e-05,0.20817568368892722,0.2184884774243313,0.17976839349197998,0.24817626925948
30,2045,0.00028827835623401743,0.0003699671489463263,1.0744785,-8.168879271230889e-05,0.22688185189086651,0.23645908585258565,0.20565421256849997,0.264110498473
31,2046,0.0003066388481675897,0.00040203288113715985,1.1183776,-9.539403296957016e-05,0.2407290393289504,0.2532398242535375,0.22033169404736003,0.28909198640448003
32,2047,0.0003309847438771052,0.0004170433420229158,1.1648836,-8.605859814581063e-05,0.25945833849761074,0.2723036448308062,0.23959782452992,0.30208058032656004
33,2048,0.0003591153590146168,0.00043740534457326063,1.2102482,-7.828998555864386e-05,0.27677858902855024,0.28991421798905714,0.26180560565684,0.31904417988508
