"bin","T_y","T_by","T_diff","beta_low","effect_fa_low","effect_na_low","beta_high","effect_fa_high","effect_na_high"
"(-45,-44]","0","0","0","-3.73351","0","0","-237.03669","0","0"
"(-44,-43]","0","0","0","-3.68129","0","0","-233.72149","0","0"
"(-43,-42]","0","0","0","-3.62907","0","0","-230.4063","0","0"
"(-42,-41]","0","0","0","-3.57686","0","0","-227.0911","0","0"
"(-41,-40]","0","0","0","-3.52464","0","0","-223.7759","0","0"
"(-40,-39]","0","0","0","-3.47242","0","0","-220.4607","0","0"
"(-39,-38]","0","0","0","-3.42021","0","0","-217.1455","0","0"
"(-38,-37]","0","0","0","-3.36799","0","0","-213.8303","0","0"
"(-37,-36]","0","0","0","-3.31577","0","0","-210.5151","0","0"
"(-36,-35]","0","0","0","-3.26355","0","0","-207.19991","0","0"
"(-35,-34]","0","0","0","-3.21134","0","0","-203.88471","0","0"
"(-34,-33]","0","0","0","-3.15912","0","0","-200.56951","0","0"
"(-33,-32]","0","0","0","-3.1069","0","0","-197.25431","0","0"
"(-32,-31]","0","0","0","-3.05469","0","0","-193.93911","0","0"
"(-31,-30]","0","0","0","-3.00247","0","0","-190.62391","0","0"
"(-30,-29]","0","0","0","-2.95025","0","0","-187.30871","0","0"
"(-29,-28]","0","0","0","-2.89804","0","0","-183.99352","0","0"
"(-28,-27]","0","0","0","-2.84582","0","0","-180.67832","0","0"
"(-27,-26]","0","0","0","-2.7936","0","0","-177.36312","0","0"
"(-26,-25]","0","0","0","-2.74139","0","0","-174.04792","0","0"
"(-25,-24]","0","0","0","-2.68917","0","0","-170.73272","0","0"
"(-24,-23]","0","0","0","-2.63695","0","0","-167.41752","0","0"
"(-23,-22]","0","0","0","-2.58474","0","0","-164.10233","0","0"
"(-22,-21]","0","0","0","-2.53252","0","0","-160.78713","0","0"
"(-21,-20]","0","0","0","-2.4803","0","0","-157.47193","0","0"
"(-20,-19]","0","0","0","-2.42808","0","0","-154.15673","0","0"
"(-19,-18]","0","0","0","-2.37587","0","0","-150.84153","0","0"
"(-18,-17]","0","0","0","-2.32365","0","0","-147.52633","0","0"
"(-17,-16]","0","0","0","-2.27143","0","0","-144.21113","0","0"
"(-16,-15]","0","0","0","-2.21922","0","0","-140.89594","0","0"
"(-15,-14]","0","0","0","-2.167","0","0","-137.58074","0","0"
"(-14,-13]","0","0","0","-2.11478","0","0","-134.26554","0","0"
"(-13,-12]","0","0","0","-2.06257","0","0","-130.95034","0","0"
"(-12,-11]","0","0","0","-2.01035","0","0","-127.63514","0","0"
"(-11,-10]","0","0","0","-1.95813","0","0","-124.31994","0","0"
"(-10,-9]","0","0","0","-1.90592","0","0","-121.00474","0","0"
"(-9,-8]","0","0","0","-1.8537","0","0","-117.68955","0","0"
"(-8,-7]","0","0","0","-1.80148","0","0","-114.37435","0","0"
"(-7,-6]","0","1","-1","-1.74927","1.74927","0","-111.05915","111.05915","0"
"(-6,-5]","0","1","-1","-1.69705","1.69705","0","-107.74395","107.74395","0"
"(-5,-4]","0","0","0","-1.64483","0","1.64483","-104.42875","0","104.42875"
"(-4,-3]","0","0","0","-1.59261","0","1.59261","-101.11355","0","101.11355"
"(-3,-2]","1","1","0","-1.5404","-1.5404","0","-97.79836","-97.79836","0"
"(-2,-1]","1","1","0","-1.48818","2.97636","0","-94.48316","188.96631","0"
"(-1,0]","2","4","-2","-1.43596","10.05175","-2.87193","-91.16796","638.17571","-182.33592"
"(0,1]","1","7","-6","-1.38375","17.98871","4.15124","-87.85276","1142.08588","263.55828"
"(1,2]","1","5","-4","-1.33153","21.30449","5.32612","-84.53756","1352.60098","338.15025"
"(2,3]","3","8","-5","-1.27931","15.35176","3.83794","-81.22236","974.66836","243.66709"
"(3,4]","5","14","-9","-1.2271","8.58968","9.81677","-77.90716","545.35015","623.25732"
"(4,5]","7","16","-9","-1.17488","17.6232","1.17488","-74.59197","1118.87949","74.59197"
"(5,6]","13","15","-2","-1.12266","2.24533","1.12266","-71.27677","142.55354","71.27677"
